date,product_id,quantity,unit_price
2026-01-01,P003,4,349.99
2026-01-01,P009,1,39.99
2026-01-02,P001,4,39.99
2026-01-02,P002,4,89.99
2026-01-02,P006,2,29.99
2026-01-02,P006,2,29.99
2026-01-03,P008,2,49.99
2026-01-03,P007,4,69.99
2026-01-04,P008,4,49.99
2026-01-05,P006,4,29.99
2026-01-05,P009,1,39.99
2026-01-06,P002,2,89.99
2026-01-06,P008,3,49.99
2026-01-06,P009,4,39.99
2026-01-07,P009,4,39.99
2026-01-07,P010,3,19.99
2026-01-08,P006,1,29.99
2026-01-08,P004,4,199.99
2026-01-09,P008,4,49.99
2026-01-09,P002,4,89.99
2026-01-10,P001,4,39.99
2026-01-10,P007,3,69.99
2026-01-10,P005,3,129.99
2026-01-11,P003,2,349.99
2026-01-12,P004,2,199.99
2026-01-12,P010,3,19.99
2026-01-12,P005,2,129.99
2026-01-13,P007,3,69.99
2026-01-13,P010,1,19.99
2026-01-13,P005,3,129.99
2026-01-13,P001,1,39.99
2026-01-14,P004,4,199.99
2026-01-14,P001,1,39.99
2026-01-15,P007,3,69.99
2026-01-15,P007,3,69.99
2026-01-15,P002,1,89.99
2026-01-16,P004,1,199.99
2026-01-16,P008,2,49.99
2026-01-16,P005,3,129.99
2026-01-17,P010,4,19.99
2026-01-17,P009,4,39.99
2026-01-17,P005,2,129.99
2026-01-17,P010,3,19.99
2026-01-18,P010,1,19.99
2026-01-18,P001,4,39.99
2026-01-18,P005,1,129.99
2026-01-19,P009,1,39.99
2026-01-19,P007,3,69.99
2026-01-19,P005,1,129.99
2026-01-19,P007,3,69.99
2026-01-20,P009,2,39.99
2026-01-20,P004,4,199.99
2026-01-21,P007,4,69.99
2026-01-21,P010,2,19.99
2026-01-22,P007,1,69.99
2026-01-22,P006,3,29.99
2026-01-22,P003,2,349.99
2026-01-23,P007,1,69.99
2026-01-23,P010,2,19.99
2026-01-23,P007,3,69.99
2026-01-23,P001,2,39.99
2026-01-24,P007,2,69.99
2026-01-24,P009,2,39.99
2026-01-24,P005,3,129.99
